Id,Position,FirstName,Nickname,LastName,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17288-29501,WR,Brandin,,Cooks,13.125,12,6300,NO@ARI,NO,ARI,,
17288-28643,WR,Allen,,Robinson,10.03076876,13,6300,JAC@HOU,JAC,HOU,,
17288-6735,WR,Steve,,Smith Sr.,10.32727259,11,6200,PHI@BAL,BAL,PHI,,
17288-30428,WR,Malcolm,,Mitchell,7.380000305,10,6200,NE@DEN,NE,DEN,,
17288-31561,WR,Donte,,Moncrief,9.699999809,8,6200,IND@MIN,IND,MIN,O,Hamstring
17288-29605,QB,Matt,,Barkley,11.06000042,4,6200,GB@CHI,CHI,GB,,
17288-24641,WR,Sammy,,Watkins,7.5,5,6100,CLE@BUF,BUF,CLE,Q,Foot
17288-11485,WR,Golden,,Tate,10.39999977,13,6100,DET@NYG,DET,NYG,,
17288-21941,QB,Robert,,Griffin III,11.27999973,2,6100,CLE@BUF,CLE,BUF,,
17288-6863,TE,Delanie,,Walker,10.94166692,12,6100,TEN@KC,TEN,KC,,
17288-29715,QB,Kevin,,Hogan,6.219999949,3,6000,CLE@BUF,CLE,BUF,,
17288-31874,RB,Kenneth,,Farrow,2.337500095,8,6000,OAK@SD,SD,OAK,,
17288-9392,WR,Michael,,Crabtree,12.31538508,13,6000,OAK@SD,OAK,SD,Q,Finger
17288-25812,QB,Stephen,,Morris,0,0,6000,IND@MIN,IND,MIN,,
17288-54604,QB,Jimmy,,Garoppolo,8.859999657,4,6000,NE@DEN,NE,DEN,,
17288-14696,QB,Scott,,Tolzien,5.46999979,2,6000,IND@MIN,IND,MIN,,
17288-21959,QB,Brandon,,Weeden,11.40333303,6,6000,JAC@HOU,HOU,JAC,,
17288-6639,QB,Tony,,Romo,11.91499996,4,6000,TB@DAL,DAL,TB,,
17288-22027,QB,Nick,,Foles,14,2,6000,TEN@KC,KC,TEN,,
17288-6679,QB,Matt,,Schaub,-0.100000001,2,6000,SF@ATL,ATL,SF,,
17288-30231,QB,Jacoby,,Brissett,9.433333079,3,6000,NE@DEN,NE,DEN,IR,Thumb
17288-7744,QB,Drew,,Stanton,3.265000105,4,6000,NO@ARI,ARI,NO,,
17288-7778,QB,Matt,,Cassel,0.25,2,6000,TEN@KC,TEN,KC,,
17288-6803,QB,Josh,,McCown,11.61999969,5,6000,CLE@BUF,CLE,BUF,,
17288-33463,QB,Paxton,,Lynch,9.793333054,3,6000,NE@DEN,DEN,NE,,
17288-6844,QB,Shaun,,Hill,5.239999771,2,6000,IND@MIN,MIN,IND,,
